Aliment                           | Calories   | Protéines  | Glucides   | Lipides   
Quinoa                            |        368 |       14.1 |         64 |        6.1
Quinoa                            |        400 |         15 |         65 |          8
Racine de lotus                   |         74 |        2.6 |       17.2 |        0.1
Radicchio                         |         23 |        1.4 |        4.5 |        0.2
Radis                             |         16 |          1 |        2.5 |        0.1
Radis                             |         20 |          1 |        2.5 |        0.2
Ragoût de mouton                  |        172 |         25 |          5 |          6
Raie                              |         70 |       16.5 |          0 |          1
Raisin jus                        |         68 |        0.0 |         17 |          0
Raisin                            |         69 |        0.6 |       15.5 |        0.3
Raisin                            |         73 |        0.6 |       16.5 |          0
Rascasse                          |         70 |       16.5 |          0 |          1
Reine0.0Claude                    |         50 |        0.6 |       11.5 |          0
Rhubarbe                          |         21 |        0.9 |        4.5 |        0.2
Riz (cru)                         |        350 |          7 |         80 |        1.2
Riz (cuit)                        |        110 |        2.5 |         25 |        0.3
Riz (cuit)                        |        130 |        2.7 |       28.7 |        0.3
Riz au lait                       |        135 |          3 |         24 |          3
Riz basmati (cru)                 |        360 |        7.1 |         79 |        1.1
Riz basmati (cuit)                |        130 |        2.5 |         28 |        0.5
Riz blanc cuit                    |        110 |          2 |       25.4 |        0.1
Riz complet (cru)                 |        360 |        7.5 |         72 |        2.7
Riz complet (cuit)                |        130 |        2.7 |         27 |        0.9
Riz complet                       |        111 |        2.6 |         23 |        0.9
Riz complet                       |        400 |          8 |         85 |          3
Riz noir (cru)                    |        360 |         10 |         75 |          4
Riz noir (cuit)                   |        160 |          4 |         34 |          1
Riz soufflé                       |        417 |          6 |         96 |          1
Rognon                            |        150 |         27 |          0 |          4
Roquefort                         |        350 |         25 |          0 |         30
Réglisse (confiserie)             |        380 |          1 |         94 |          0
Rôti de porc                      |        270 |         32 |          0 |         15
Saindoux                          |        896 |          1 |         99 |          0
Saindoux                          |        900 |          0 |          0 |        100
Saint0.0Nectaire                  |        350 |         25 |          0 |         28
Salade verte                      |         15 |        1.4 |        2.9 |        0.2
Salade                            |         15 |          1 |          1 |          0
Salsifi                           |         82 |        3.3 |       18.6 |        0.2
Sanglier                          |        125 |         26 |          0 |          3
Sardine                           |        150 |         18 |          0 |        8.5
Sardines (en boîte)               |        200 |         20 |          0 |         13
Sarrasin (cru)                    |        330 |         12 |         70 |          3
Sarrasin (cuit)                   |         90 |          3 |         18 |        0.7
Sarrasin                          |        335 |       12.6 |       70.6 |        2.3
Sauce soja                        |         60 |          6 |          4 |          0
Saucisse de Francfort             |        350 |         14 |          0 |         32
Saucisse fumée                    |        320 |         11 |          1 |         31
Saucisse                          |        295 |         11 |          1 |         27
Saucisson de Paris                |        405 |         17 |          2 |         37
Saucisson sec                     |        457 |         27 |          1 |         40
Saucisson à l’ail                 |        337 |         16 |          3 |         28
Saucisson                         |        450 |         22 |          1 |         40
Saumon (grillé)                   |        206 |       22.1 |          0 |       12.4
Saumon                            |        180 |       18.5 |          0 |       11.5
Sauté de porc                     |        260 |         32 |          0 |         14
Sauté de veau                     |        138 |         20 |          4 |          5
Sauté d’agneau                    |        200 |         28 |          3 |          9
Seigle (cru)                      |        335 |         10 |         71 |          1
Seigle (cuit)                     |         67 |        2.1 |       13.6 |        0.4
Seigle (cuit)                     |         85 |          3 |         18 |        0.2
Semoule (crue)                    |        350 |         12 |         70 |        1.2
Semoule (cuite)                   |        110 |          3 |         20 |        0.4
Semoule de mais                   |        355 |       12.5 |         74 |          1
Semoules cuites                   |        110 |        3.5 |       23.5 |        0.2
Skyr                              |         60 |         11 |        3.6 |        0.2
Sodas                             |         44 |        0.0 |         11 |          0
Soja (cuit)                       |        173 |       16.6 |        9.9 |        8.7
Soja (grains)                     |        446 |       36.5 |         25 |         20
Sole                              |         90 |         18 |          0 |        1.5
Soupe de bœuf aux légumes         |         32 |          2 |          5 |          1
Soupe de poisson                  |         26 |          4 |          3 |        0.5
Spaghettis cuits                  |        110 |        3.5 |       23.5 |        0.2
St0.0nectaire                     |        350 |         25 |          0 |         28
Steak au poivre                   |        145 |         22 |          2 |          6
Sureau                            |         73 |        0.7 |       18.4 |        0.5
Surimi                            |        104 |         12 |         14 |        0.4
Sésame                            |        600 |         20 |         10 |         55
Tagliatelles cuites               |        110 |        3.5 |       23.5 |        0.2
Tapioca                           |        384 |        0.5 |         95 |        0.2
Tarte au citron meringuée         |        300 |          3 |         48 |         16
Tarte au fraises                  |        230 |          3 |         39 |          9
Tarte aux pommes                  |        270 |          3 |         44 |         11
Tarte tatin                       |        270 |          3 |         37 |         15
Tartelette aux fruits             |        210 |          2 |         28 |         10
Tartelette à la fraise            |        200 |          2 |         26 |          9
Thon (en conserve)                |        116 |         26 |          0 |          1
Thon au naturel (en boîte)        |        130 |         26 |          0 |          1
Thon à l'huile (en boîte)         |        260 |         25 |          0 |         18
Thon                              |        160 |         28 |          0 |          4
Thé non sucré                     |          0 |        0.0 |        0.0 |        0.0
Tilapia                           |         96 |       20.1 |          0 |        1.7
Tisanes                           |          0 |        0.0 |        0.0 |        0.0
Tofu                              |         76 |          8 |        1.9 |        4.8
Tomate                            |         15 |        0.8 |        2.5 |          0
Tomate                            |         18 |        0.9 |        3.9 |        0.2
Topinambour                       |         31 |        1.8 |        3.5 |          0
Topinambour                       |         73 |          2 |         17 |        0.1
Tournesol                         |        500 |         25 |         15 |         40
Truffes au chocolat               |        577 |          3 |         40 |         45
Truite                            |        150 |         21 |          0 |          6
Tuiles (petits fours)             |        360 |          8 |         64 |          8
Turbot                            |        140 |         18 |          0 |          7
Turbot                            |         97 |       19.7 |          0 |        1.8
Vanille                           |        288 |          2 |         12 |          6
Veau (côtes rôties)               |        210 |         29 |          0 |         10
Veau (côtes)                      |        190 |         27 |          0 |          9
Veau (rôti)                       |        170 |         30 |          0 |          5
Veau (épaule)                     |        145 |         23 |          0 |          5
Viande hachée à 5 % MG            |        180 |       18.5 |          0 |         11
Viennoiserie chocolat             |        330 |          6 |         50 |         18
Viennoiserie fruit                |        340 |          6 |         52 |         15
Vin blanc                         |         83 |        0.1 |        2.6 |          0
Vin rouge                         |         85 |        0.1 |        2.6 |          0
Vinaigre balsamique               |         21 |          0 |        4.5 |          0
Vinaigre de cidre                 |         18 |          0 |        0.5 |          0
Vinaigre de vin                   |         15 |          0 |        0.5 |          0
Vinaigrette                       |        400 |          0 |          5 |         40
Volaille                          |        176 |         21 |          0 |         10
Waterzooï (soupe de légumes)      |         40 |          1 |        6.5 |        0.5
Yaourt (nature)                   |         61 |        3.5 |        4.7 |        3.3
Yaourt aux fruits                 |        100 |          3 |         15 |        3.5
Yaourt de chèvre                  |        105 |          7 |          7 |        4.5
Yaourt de soja                    |         55 |          3 |          5 |        1.5
Yaourt de vache                   |         60 |        3.5 |        4.5 |        3.3
Yaourt nature                     |         60 |          4 |        4.5 |        3.2


